15000,LMS BroncoBots,Lakeside Middle School,2018,2021,Lakeside,CA,USA,92040,22,19,1,42,0.5238095238095238,87.4,89.5
15001,Lister / New Heights SOOO Extra Terrestrials!,New Heights & Robert J. Lister Academy,2018,1819,Portsmouth,NH,USA,03801,0,0,0,0,-99,0,0
15002,Chemical Crew,Family/Community,2018,1819,Ann Arbor,MI,USA,48105,0,0,0,0,-99,0,0
15003,Lister / New Heights Mr. Misfit Bubbles,New Heights,2018,1819,Portsmouth,NH,USA,03801,0,0,0,0,-99,0,0
15004,Tech KNOW Logic,Baker Middle School,2018,2223,Troy,MI,USA,48083,10,6,0,16,0.625,89.7,77.6
15005,Technophobia,Caterpillar/FBR/PTC/Terminix&Family/Community,2018,2223,East Peoria,IL,USA,61611,41,9,0,50,0.82,102.3,102.49999999999999
15006,Nerdvana,Dixie M. Hollins High School,2018,2223,Saint Petersburg,FL,USA,33709,0,0,0,0,-99,0,0
15007,PEARanormal Activity,Arconic / GTAB & Pearland Jr High School West,2018,2122,Pearland,TX,USA,77581,8,12,0,20,0.4,0.0,0.0
15008,The Eclipse,Park School of Baltimore,2018,2223,Pikesville,MD,USA,21208,1,9,0,10,0.1,56.8,50.3
15009,Crossings-Delta,Crossings Christian School,2018,1819,Oklahoma City,OK,USA,73134,0,0,0,0,-99,0,0
